Date of Incident,City,Select State,Hazard Description,Inspection Number,Federal or State Plan,Citation Issued Related to Fatality
10/23/2019,Ashland,OR,Worker died when tire skidder rolled down hill.,1445732,State,No
10/23/2019,Richmond,VA,Worker died in fall from scissor lift.,1439639,State,Yes
10/23/2019,Chappaqua,NY,Worker fatally struck by rope that snapped from tension.,1439946,Federal,Yes
10/22/2019,Milford,ME,Worker fatally crushed by truck.,1439504,Federal,No
10/22/2019,Milford,ME,Worker fatally stuck by truck.,1439480,Federal,Yes
10/22/2019,Brookshire,TX,Worker died after becoming caught in asphalt paving machine.,1439417,Federal,Yes
10/22/2019,Bethesda,MD,Workere electrocuted when truck contacted power line.,1439524,State,Yes
10/22/2019,Freeport,NY,Worker fatally struck by tractor trailer.,1439461,Federal,No
10/22/2019,Mooresville,IN,Worker fatally injured by blending machine.,1443055,State,Yes
10/21/2019,Houston,TX,Worker died in vehicle collision.,1439278,Federal,No
10/21/2019,Richmond,CA,Worker died after suffereing head injury.,1441298,State,No
10/21/2019,Clines Corners,NM,Worker fatally crushed by cattleguard.,1439724,State,No
10/21/2019,New York,NY,Worker fatally crushed in wall collapse.,1439201,Federal,No
10/19/2019,Concord,NC,Worker fatally struck by vehicle.,1440775,State,No
10/19/2019,Wallowa,OR,Worker died in vehicle collision.,1449472,State,No
10/19/2019,Bowman,SC,Worker fatally crushed by front end loader.,1440785,State,Yes
10/18/2019,Holbrook,AZ,Worker died in fall inside stairwell access.,1438996,State,No
10/18/2019,San Antonio,TX,Worker fatally crushed between two vehicles.,1438839,Federal,No
10/18/2019,Omaha,NE,Worker fatally struck by falling light pole.,1439658,Federal,No
10/18/2019,Manhattan Beach,CA,Worker died in fall from roof.,1439638,State,No
10/18/2019,Florence,KY,Worker fatally crushed between pickup truck and trailer.,1439052,State,No
10/17/2019,Aledo,TX,Worker died in fall from ladder.,1439890,Federal,No
10/17/2019,Evanston,IL,Worker died in fall from ladder.,1440549,Federal,No
10/17/2019,Rockville,MD,Worker died in fall from garbage truck.,1440168,State,Yes
10/17/2019,Richmond,VA,Worker fatally struck by tractor trailer.,1438475,State,Yes
10/17/2019,Lakeland,FL,Wokerr drowned when lawn mower flipped over into pond.,1438898,Federal,Yes
10/16/2019,Pueblo,CO,Worker fatally struck by vehicle.,1440160,Federal,No
10/16/2019,Macon,GA,Worker fatally crushed between boards.,1438179,Federal,Yes
10/16/2019,Memphis,TN,Worker fatally crushed by wall panels and drywall cart.,1438658,State,Yes
10/15/2019,Crossville,TN,Worker died in fall from house.,1438651,State,Yes
10/15/2019,Crystal Springs,MS,Worker electrocuted by air conditioning unit.,1437990,Federal,Yes
10/15/2019,Central Valley,NY,Worker fatally struck by truck.,1438177,Federal,No
10/14/2019,Cypress,TX,Worker drowned after falling into water feature.,1438232,Federal,No
10/14/2019,Gilbert,AZ,Worker fatally crushed between cement mixer and silo.,1437702,State,Yes
10/14/2019,Crownsville,MD,Worker died in fall from tree.,1437551,State,No
10/14/2019,Saint Joseph,MO,Worker died in fall through decking.,1438020,Federal,Yes
10/14/2019,England,AR,Worker died after being pinned by trailer.,1438508,Federal,No
10/13/2019,Mays Landing,NJ,Worker fatally cut by knife during food preperation.,1438178,Federal,No
10/12/2019,Muldrow,OK,Worker died in fall from lift.,1441339,Federal,No
10/12/2019,Malin,OR,Worker fatally struck by tractor.,1449470,State,No
10/12/2019,Alexandria,VA,Worker died in fall while installing flashing.,1437893,State,No
10/12/2019,New Orleans,LA,Worker died in building collapse.,1442231,Federal,Yes
10/12/2019,New Orleans,LA,Worker died in building collapse.,1442289,Federal,No
10/12/2019,New Orleans,LA,Worker died in building collapse.,1440316,Federal,No
10/11/2019,Waco,TX,Worker fatally injured after slipping in puddle.,1442928,Federal,Yes
10/11/2019,Wayne,MI,Worker died when garbage truck overturned.,1437418,State,No
10/11/2019,Hopelawn,NJ,Worker electrocuted when scaffold support pole contacted power line.,1437804,Federal,No
10/11/2019,Summerfield,TX,Worker fatally struck by front end loader.,1438159,Federal,Yes
10/11/2019,Orlando,FL,Worker electrocuted while installing lighting fixture.,1435953,Federal,Yes
10/10/2019,Fremont,IN,Worker electrocuted by power cable.,1438060,State,Yes
10/10/2019,San Diego,CA,Worker fatally struck by truck trailer.,1442876,State,No
10/10/2019,Dulles,VA,Worker died in vehicle collision.,1437227,State,Yes
10/10/2019,Charlotte,NC,Worker died in fall from man-basket.,1437294,State,Yes
10/10/2019,Grand Rapids,MI,Worker fatally struck by vehicle.,1437271,State,No
10/9/2019,Brook Park,OH,Worker died in vehicle collision.,1437087,Federal,No
10/9/2019,Houston,TX,Worker died in fall from ladder.,1437716,Federal,Yes
10/9/2019,Tolleson,AZ,Worker died in fall from forklift.,1437705,State,Yes
10/9/2019,Tully,NY,Worker fatally struck by paving truck.,1437631,Federal,No
10/9/2019,East Rutherford,NJ,Worker died in vehicle collision.,1436823,Federal,No
10/9/2019,Spring Valley,CA,Worker died in fall from roof when beam gave way.,1436785,State,No
10/9/2019,Crawfordville,GA,Worker died in fall through floor opening.,1443727,Federal,No
10/8/2019,Ontario,OR,Worker died after becoming caught in machinery.,1443804,State,No
10/8/2019,Elizabethtown,NC,Worker died in fall from roof.,1436954,State,Yes
10/8/2019,Glens Falls,NY,Worker fatally struck by falling platform.,1436399,Federal,No
10/8/2019,Perry,GA,Worker refinishing bathtub died from chemical exposure.,1436552,Federal,Yes
10/7/2019,Kersey,CO,Worker fatally crushed by trusses.,1436218,Federal,No
10/7/2019,Muscatine,IA,Worker fatally struck by train.,1436167,State,No
10/7/2019,Clayton,NM,Worker fatally struck by vehicle.,1438325,State,No
10/7/2019,Hamel,MN,Worker fatally crushed between two tractors.,1437312,State,No
10/6/2019,Rockwall,TX,Worker died in fall from ladder.,1436829,Federal,Yes
10/6/2019,Panama City,FL,Worker fatally struck by shipping container.,1436088,Federal,Yes
10/5/2019,Cairo,WV,Worker fatally crushed when vehicle slipped off excavator.,1436105,Federal,Yes
10/4/2019,Irving,TX,Worker died in fall from scissor lift.,1437682,Federal,Yes
10/4/2019,Labelle,FL,Worker electrocuted when metal tent frame contacted power line.,1435776,Federal,Yes
10/4/2019,Clearwater,FL,Worker drowned in pool.,1436779,Federal,No
10/4/2019,Lexington,SC,Worker fatally struck by passing semi-truck.,1436033,State,Yes
10/4/2019,Roosevelt,NY,Worker fatally crushed between truck and forklift.,1435866,Federal,Yes
10/3/2019,Whitehall,OH,Worker fatally struck by load that fell from forklift.,1435560,Federal,No
10/3/2019,Keithsburg,IL,Worker fatally engulfed in grain bin.,1436711,Federal,Yes
10/3/2019,Schertz,TX,Worker drowned in pool.,1435618,Federal,Yes
10/3/2019,Marlborough,MA,Worker fatally struck by vehicle.,1440964,Federal,No
10/3/2019,Chamblee,GA,Worker died in fall from decking.,1435567,Federal,No
10/3/2019,Hialeah,FL,Worker electrocuted by contact with power line.,1435487,Federal,Yes
10/3/2019,Cordele,GA,Worker died of heat-related illness.,1435438,Federal,Yes
10/3/2019,Port Sulphur,LA,Worker fatally struck by falling wheel of hydraulic gate arm.,1435952,Federal,No
10/3/2019,Knoxville,TN,Worker died when forklift rolled down embankment.,1437079,State,Yes
10/2/2019,Friendship,NY,Worker fatally crushed by forklift.,1436757,Federal,No
10/2/2019,Whiting,IN,Worker died in fall from scaffold.,1436036,State,No
10/2/2019,Charlotte,NC,Worker fatally crushed by motor home when jack failed.,1435331,State,Yes
10/1/2019,Bensalem,PA,Worker fatally crushed between construction equipment.,1434550,Federal,Yes
10/1/2019,Eustis,FL,Worker died in fall from ladder.,1434967,Federal,Yes
10/1/2019,Austin,TX,Worker died in fall from forklift.,1435482,Federal,Yes
10/1/2019,Tampa,FL,Worker electrocuted when boom pump contacted power line.,1435263,Federal,No
9/30/2019,Le Mars,IA,Worker fatally burned by fuel from power washer.,1437384,State,Yes
9/30/2019,Odessa,TX,Worker electrocuted by crane wires.,1435089,Federal,Yes
9/30/2019,Superior,WI,Worker drowned when boat capsized.,1435045,Federal,No
9/29/2019,Hartford,CT,Worker fatally crushed by vehicle elevated on automotive lift.,1434624,Federal,Yes
9/29/2019,Mustang,OK,Worker electrocuted when trck boom contacted power line.,1434050,Federal,No
9/28/2019,Fresno,CA,Worker electrocuted by air conditioning unit.,1434710,State,No
9/28/2019,Longstreet,LA,Worker fatally struck by truck.,1435144,Federal,No
9/28/2019,Orlando,FL,Worker fatally struck by falling beam.,1434122,Federal,Yes
9/27/2019,Antioch,TN,Worker fatally crushed by closing door.,1426856,State,Yes
9/27/2019,King City,CA,Worker died when bulldozer rolled off mountainside.,1434352,State,No
9/27/2019,Hudson Oaks,TX,Worker fatally stuck by truck.,1434560,Federal,Yes
9/27/2019,Grand Prairie,TX,Worker electrocuted by street light pole.,1434125,Federal,Yes
9/27/2019,Quinton,VA,Worker fatally struck by falling tree.,1434008,State,No
9/27/2019,Aliceville,AL,Worker fatally engulfed in sawdust storage silo.,1434934,Federal,Yes
9/27/2019,Alamogordo,NM,Worker died in fall from roof.,1434609,State,Yes
9/27/2019,Hanford,CA,Worker died in vehicle collision.,1434271,State,No
9/27/2019,Media,PA,Worker fatally crushed between dump truck and trees.,1434373,Federal,Yes
9/26/2019,New Orleans,LA,Worker died in fall from skylight.,1438290,Federal,No
9/26/2019,San Antonio,TX,Worker electrocuted when telehandler contacted power line.,1433907,Federal,No
9/26/2019,Bethlehem,PA,Worker fatally crushed by demolition grapple.,1433871,Federal,Yes
9/26/2019,San Antonio,TX,Worker fatally struck by passing vehicle.,1433730,Federal,No
9/26/2019,Port Aransas,TX,Worker died in fall from roof.,1434046,Federal,No
9/26/2019,Maxwell,NM,Worker electrocuted while installing power line poles.,1434042,State,No
9/26/2019,Schaumburg,IL,Worker fatally struck by machine arm.,1433982,Federal,Yes
9/25/2019,Dallas,TX,Worker fatally crushed by quartz slab.,1433950,Federal,Yes
9/25/2019,Kingsland,GA,Worker fatally struck by vehicle.,1435964,Federal,No
9/25/2019,Atlanta,GA,Worker fatally crushed between conveyer belt loader and airplane.,1433937,Federal,No
9/24/2019,Houston,TX,Worker died in fall from roof.,1433586,Federal,Yes
9/24/2019,Onarga,IL,Worker fatally crushed by mobile shredding unit.,1433246,Federal,No
9/24/2019,Saint Paul,MN,Worker died after falling in lobby.,1436048,State,No
9/24/2019,Windthorst,TX,Worker died in fuel truck explosion.,1433911,Federal,No
9/24/2019,New Baltimore,PA,Worker fatally crushed between truck and skid steer.,1433468,Federal,Yes
9/24/2019,Luke Afb,AZ,Worker died in fall from ladder.,1433717,State,No
9/23/2019,Houston,TX,Worker fatally crushed by load that fell from boom lift.,1433076,Federal,No
9/23/2019,Mount Eaton,OH,Worker died in fall from loading dock.,1433867,Federal,No
9/23/2019,Lahaina,HI,Worker died when paving roller overturned.,1434970,State,No
9/23/2019,Wisconsin Dells,WI,Worker fatally struck by excavator bucket.,1432958,Federal,Yes
9/23/2019,De Pere,WI,Worker fatally struck by truck.,1432923,Federal,No
9/23/2019,Columbus,GA,Worker fatally shot during robbery.,1433160,Federal,No
9/22/2019,Buena Park,CA,Worker died after tripping on curb and striking head.,1436003,State,No
9/22/2019,Bessemer,AL,Worker fatally struck by motor vehicle.,1432978,Federal,No
9/22/2019,Fremont,NE,Worker fatally engulfed in grain bin.,1432818,Federal,Yes
9/21/2019,Bel Air,MD,Worker fatally struck by falling tree.,1432585,State,Yes
9/21/2019,Newton,IA,Worker died in fall from scissor lift.,1432705,State,Yes
9/21/2019,Douglas,WY,Worker fatally struck by semi-truck.,1432950,State,No
9/21/2019,Brooklyn,NY,Worker fatally struck by truck.,1433481,Federal,No
9/20/2019,Cartersville,GA,Worker died from wasp sting.,1432629,Federal,Yes
9/20/2019,Binghamton,NY,Worker fatally burned in gasoline tank fire.,1432647,Federal,Yes
9/20/2019,Waynesboro,MS,Worker died in oil tank explosion.,1432291,Federal,Yes
9/19/2019,Caldwell,TX,Worker fatally struck by loader.,1432892,Federal,No
9/19/2019,Beaver,OR,Worker died in vehicle colision.,1432471,Federal,No
9/19/2019,O Fallon,MO,Worker fatally crushed between mast and trailer.,1432463,Federal,Yes
9/19/2019,Pigeon Forge,TN,Worker fatally struck by tree limb.,1435222,State,Yes
9/19/2019,Sheldon,WI,Worker fatally engulfed by corn feed.,1432728,Federal,Yes
9/18/2019,Mableton,GA,Worker electrocuted when tarp contacted power line.,1434696,Federal,Yes
9/17/2019,Cleveland,OH,Worker died in fall from roof.,1434622,Federal,No
9/17/2019,Riverside,CA,Worker died in fall through roof opening.,1431361,State,No
9/17/2019,Fairborn,OH,Worker fatally injured in fall from loading dock.,1433228,Federal,No
9/17/2019,Saint Louis,MO,Worker fatally crushed by crane.,1431185,Federal,Yes
9/17/2019,Kersey,PA,Worker fatally crushed between truck and tipper.,1431868,Federal,Yes
9/16/2019,Plymouth,IN,Worker died in propane explosion.,1431396,State,Yes
9/16/2019,Louisville,KY,Worker died in fall from ladder.,1431759,State,No
9/16/2019,Mcalester,OK,Worker fatally struck by I-beam.,1432205,Federal,Yes
9/16/2019,Sterling,IL,Worker died in fall from silo ladder.,1431995,Federal,No
9/16/2019,Summerville,SC,Worker died in fall from ladder.,1432840,State,Yes
9/16/2019,Pompano Beach,FL,Worker fatally struck by falling stack of steel beams.,1431488,Federal,Yes
9/16/2019,Farmington,ME,Worker died in propane explosion.,1431040,State,Yes
9/15/2019,Orlando,FL,Worker fatally struck by vehicle.,1430947,Federal,Yes
9/15/2019,Fort Meade,MD,Worker died in fall from box truck.,1431000,Federal,No
9/13/2019,Houston,TX,Worker died in fall from roof.,1431052,Federal,No
9/13/2019,Hidden Hills,CA,Worker fatally crushed between tractor and gate pole.,1432467,State,No
9/13/2019,Medina,TX,Worker fatally crushed under heavy equipment.,1433876,Federal,Yes
9/13/2019,Hueytown,AL,Worker fatally crushed between steel coils.,1431195,Federal,Yes
9/13/2019,Goliad,TX,Worker died in fall from ladder.,1440359,Federal,No
9/12/2019,Cincinnati,OH,Worker fatally drushed between forklift and tow truck.,1430626,Federal,Yes
9/12/2019,Wilber,NE,Worker fatally struck by tractor.,1432325,Federal,Yes
9/12/2019,Brogan,OR,Worker died after becoming caught in rollers.,1433132,State,No
9/12/2019,Elmhurst,NY,Worker died in fall from bucket truck.,1430177,Federal,Yes
9/11/2019,Lansing,MI,Worker died after falling on cement floor.,1431016,State,No
9/11/2019,Detroit,MI,Worker died after being struck by motor vehicle.,1431517,State,No
9/11/2019,Wausau,WI,Worker drowned in retention pond.,1430416,Federal,No
9/11/2019,New Oxford,PA,Worker fatally struck by forklift.,1430393,Federal,Yes
9/11/2019,Hilliard,OH,Worker died in fall down elevator shaft.,1430085,Federal,Yes
9/11/2019,Rensselaer,IN,Worker fatally struck by forklift.,1430759,State,Yes
9/10/2019,Houston,TX,Worker died in fall from house under construction.,1430166,Federal,No
9/10/2019,Irvine,CA,Worker died in fall from roof.,1430203,State,No
9/10/2019,Tampa,FL,Worker died in fall from scaffold.,1430100,Federal,No
9/10/2019,Alexandria,LA,Worker died from heat-related illness.,1449407,Federal,Yes
9/10/2019,Winston Salem,NC,Worker fatally crushed between forklift and pallet.,1430338,State,Yes
9/10/2019,Clearwater,FL,Worker fatally struck by excavator bucket.,1429780,Federal,Yes
9/9/2019,Auburn,MA,Worker fatally shot.,1429763,Federal,No
9/9/2019,Allen,TX,Worker died in fall from balcony.,1431527,Federal,Yes
9/9/2019,Coventry,CT,Worker drowned while swimming.,1431199,Federal,Yes
9/9/2019,Warwick,NY,Worker died in vehicle collision.,1432600,State,No
9/9/2019,Livingston,CA,Worker fatally struck by harvester.,1429648,State,No
9/9/2019,Sterling Heights,MI,Worker fatally crushed by falling granite slab.,1429933,State,No
9/7/2019,Springfield,IL,Worker fatally crushed between docking plate and semi-trailer.,1429637,Federal,No
9/7/2019,Mount Airy,MD,Worker fatally struck by vehicle.,1429123,State,No
9/7/2019,East Peoria,IL,Worker trimming trees electrocuted when bucket lift contacted power line.,1429894,Federal,Yes
9/7/2019,Savannah,GA,Worker fatally injured after being thrown from backhoe.,1429124,Federal,Yes
9/6/2019,Orange,TX,Worker died in fall from roof.,1429038,Federal,Yes
9/6/2019,Chandler,TX,Worker fatally burned in flash fire.,1430156,Federal,Yes
9/6/2019,Atchison,KS,Worker electrocuted ehn power line contacted silo.,1430227,Federal,Yes
9/6/2019,Christiansted,VI,Worker died when forklift overturned.,1429829,Federal,Yes
9/5/2019,Omaha,NE,Worker fatally struck by skid steer boom arm.,1428747,Federal,Yes
9/5/2019,Warrensburg,MO,Worker died from heat-related illness.,1429027,Federal,No
9/5/2019,Kennesaw,GA,Worker fatally struck by falling tree.,1430887,Federal,No
9/5/2019,Milpitas,CA,Worker fatally injured in same surface fall.,1429571,State,No
9/4/2019,Brayton,IA,Worker died after falling on cement floor.,1429535,State,No
9/4/2019,Yoakum,TX,Worker fatally struck by truck.,1430106,Federal,No
9/4/2019,Houston,TX,Worker fatally struck by forklift.,1428753,Federal,Yes
9/4/2019,Kansas City,KS,Worker fatally struck by metal piece of lathe.,1428503,Federal,Yes
9/4/2019,Los Angeles,CA,Worker died in fall from balcony.,1429444,State,No
